iter	Passed	Remaining
148	940	5369
149	945	5355
150	949	5339
151	955	5329
152	961	5321
153	967	5316
154	975	5319
155	981	5310
156	986	5299
157	991	5286
158	996	5272
159	1001	5259
160	1007	5249
161	1012	5235
162	1016	5220
163	1022	5210
164	1026	5196
165	1031	5184
166	1037	5174
167	1042	5160
168	1046	5146
169	1052	5137
170	1058	5131
171	1064	5122
172	1070	5118
173	1076	5112
174	1084	5112
175	1090	5104
176	1096	5096
177	1102	5090
178	1108	5085
179	1114	5077
180	1120	5069
181	1125	5057
182	1130	5045
183	1135	5037
184	1140	5025
185	1145	5012
186	1150	5002
187	1155	4990
188	1160	4978
189	1165	4968
190	1170	4958
191	1175	4947
192	1181	4939
193	1186	4931
194	1191	4920
195	1196	4908
196	1202	4900
197	1207	4889
198	1211	4877
199	1217	4869
200	1222	4858
201	1227	4848
202	1233	4844
203	1239	4835
204	1243	4823
205	1249	4815
206	1254	4805
207	1258	4793
208	1264	4784
209	1269	4774
210	1274	4764
211	1279	4755
212	1285	4750
213	1290	4739
214	1295	4728
215	1301	4722
216	1306	4713
217	1311	4703
218	1317	4697
219	1322	4689
220	1328	4681
221	1333	4674
222	1339	4666
223	1344	4658
224	1351	4653
225	1356	4644
226	1361	4635
227	1366	4627
228	1371	4618
229	1376	4609
230	1382	4603
231	1388	4594
232	1393	4585
233	1399	4582
234	1405	4575
235	1411	4567
236	1417	4562
237	1422	4554
238	1429	4550
239	1435	4546
240	1440	4538
241	1446	4530
242	1451	4523
243	1457	4515
244	1463	4509
245	1469	4503
246	1474	4495
247	1481	4491
248	1487	4485
249	1492	4477
250	1498	4471
251	1504	4466
252	1511	4463
253	1518	4460
254	1524	4454
255	1532	4452
256	1537	4445
257	1543	4439
258	1549	4433
259	1555	4426
260	1561	4420
261	1567	4415
262	1573	4409
263	1581	4407
264	1586	4401
265	1592	4395
266	1599	4390
267	1604	4382
268	1610	4377
269	1617	4371
270	1622	4365
271	1629	4360
272	1636	4356
273	1643	4353
274	1649	4348
275	1655	4342
276	1662	4339
277	1668	4334
278	1675	4328
279	1681	4322
280	1686	4315
281	1693	4311
282	1700	4307
283	1705	4300
284	1712	4295
285	1718	4290
286	1724	4283
287	1731	4280
288	1736	4272
289	1742	4266
290	1748	4261
291	1754	4255
292	1761	4250
293	1767	4244
294	1774	4240
295	1780	4234
296	1785	4227
297	1791	4220
298	1797	4214
299	1802	4206
300	1809	4201
301	1813	4192
302	1819	4185
303	1825	4178
304	1829	4169
305	1834	4161
306	1840	4155
307	1845	4147
308	1850	4138
309	1856	4131
310	1861	4123
311	1865	4114
312	1871	4107
313	1876	4100
314	1881	4092
315	1887	4086
316	1894	4080
317	1899	4073
318	1905	4067
319	1910	4059
320	1915	4051
321	1920	4044
322	1926	4037
323	1931	4028
324	1936	4022
325	1941	4014
326	1947	4007
327	1953	4002
328	1958	3994
329	1963	3986
330	1969	3979
331	1974	3971
332	1979	3964
333	1985	3959
334	1990	3951
335	1995	3943
336	2001	3936
337	2006	3929
338	2011	3921
339	2017	3916
340	2022	3908
341	2027	3900
342	2032	3893
343	2037	3885
344	2042	3877
345	2047	3869
346	2053	3863
347	2057	3855
348	2063	3849
349	2069	3843
350	2074	3835
351	2079	3828
352	2085	3823
353	2091	3816
354	2097	3810
355	2102	3803
356	2107	3795
357	2113	3790
358	2119	3784
359	2125	3777
360	2130	3770
361	2136	3764
362	2141	3758
363	2147	3752
364	2152	3745
365	2157	3737
366	2163	3731
367	2169	3725
368	2175	3719
369	2180	3712
370	2186	3707
371	2192	3701
372	2198	3696
373	2205	3690
374	2211	3685
375	2217	3680
376	2224	3675
377	2231	3671
378	2236	3665
379	2243	3660
380	2250	3656
381	2257	3651
382	2263	3646
383	2269	3641
384	2275	3635
385	2282	3631
386	2289	3626
387	2295	3620
388	2302	3615
389	2307	3609
390	2314	3604
391	2319	3598
392	2325	3591
393	2331	3585
394	2337	3580
395	2343	3573
396	2349	3568
397	2356	3563
398	2362	3558
399	2367	3551
400	2374	3546
401	2382	3543
402	2388	3538
403	2394	3533
404	2400	3526
405	2406	3521
406	2412	3515
407	2418	3508
408	2424	3503
409	2431	3498
410	2436	3491
411	2442	3485
412	2448	3479
413	2453	3473
414	2459	3467
415	2464	3460
416	2469	3452
417	2475	3446
